id,n_tokens,n_chars,n_unique_tokens,lexical_diversity,avg_word_len,has_question_word,question_word,trigram_entropy,n_capitals,capital_ratio,n_punct,punct_ratio,has_numbers,n_numbers,n_uncertainty_markers,n_academic_words,n_fiction_words
factual_001,6,42,6,1.0,6.166666666666667,1,how,5.271928094887364,3,0.07142857142857142,1,0.023809523809523808,0,0,0,0,0
factual_002,7,42,7,1.0,5.142857142857143,1,who,5.221928094887364,1,0.023809523809523808,1,0.023809523809523808,0,0,0,0,0
factual_003,7,31,7,1.0,3.5714285714285716,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,1,1,0,0,0
factual_004,8,58,8,1.0,6.375,1,what,5.7716406363433235,1,0.017241379310344827,1,0.017241379310344827,0,0,0,0,0
factual_005,5,28,5,1.0,4.8,1,who,4.546593564294937,1,0.03571428571428571,3,0.10714285714285714,0,0,0,0,2
factual_006,7,31,7,1.0,3.5714285714285716,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,1,1,0,0,0
factual_007,6,37,6,1.0,5.333333333333333,1,what,5.129283016944964,1,0.02702702702702703,1,0.02702702702702703,0,0,0,0,0
factual_008,7,31,7,1.0,3.5714285714285716,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,1,1,0,0,0
factual_009,6,31,6,1.0,4.333333333333333,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,0,0,0,0,0
factual_010,3,26,3,1.0,8.0,1,who,4.584962500721156,1,0.038461538461538464,1,0.038461538461538464,0,0,0,0,0
factual_011,6,33,6,1.0,4.666666666666667,1,what,4.954196310386877,1,0.030303030303030304,1,0.030303030303030304,0,0,0,0,0
factual_012,7,33,7,1.0,3.857142857142857,1,how,4.954196310386877,1,0.030303030303030304,1,0.030303030303030304,0,0,0,0,0
factual_013,7,54,7,1.0,6.857142857142857,1,what,5.700439718141095,1,0.018518518518518517,1,0.018518518518518517,0,0,0,0,0
factual_014,7,34,7,1.0,4.0,1,how,5.0,1,0.029411764705882353,1,0.029411764705882353,0,0,0,0,0
factual_015,7,40,7,1.0,4.857142857142857,1,what,5.247927513443589,1,0.025,1,0.025,0,0,0,0,0
factual_016,3,27,3,1.0,8.333333333333334,1,who,4.643856189774723,1,0.037037037037037035,1,0.037037037037037035,0,0,0,0,0
factual_017,10,45,9,0.9,3.6,1,who,5.10068335935326,2,0.044444444444444446,1,0.022222222222222223,0,0,0,0,0
factual_018,5,24,5,1.0,4.0,1,what,4.459431618637295,4,0.16666666666666666,1,0.041666666666666664,0,0,0,0,0
factual_019,5,30,5,1.0,5.2,1,who,4.807354922057606,4,0.13333333333333333,3,0.1,0,0,0,0,0
factual_020,6,36,6,1.0,5.166666666666667,1,what,5.087462841250338,1,0.027777777777777776,1,0.027777777777777776,0,0,0,0,0
factual_021,8,54,7,0.875,5.875,1,what,5.585055102756479,1,0.018518518518518517,1,0.018518518518518517,0,0,0,0,0
factual_022,7,35,7,1.0,4.142857142857143,1,how,4.9837880587523955,1,0.02857142857142857,1,0.02857142857142857,0,0,0,0,0
factual_023,6,34,6,1.0,4.833333333333333,1,what,5.0,1,0.029411764705882353,1,0.029411764705882353,0,0,0,0,0
factual_024,7,44,7,1.0,5.428571428571429,1,what,5.297079327540667,1,0.022727272727272728,1,0.022727272727272728,0,0,0,1,0
factual_025,4,27,4,1.0,6.0,1,when,4.5638561897747225,1,0.037037037037037035,1,0.037037037037037035,0,0,0,0,0
factual_026,10,45,10,1.0,3.6,1,how,5.333241498888144,3,0.06666666666666667,1,0.022222222222222223,0,0,0,0,0
factual_027,7,42,7,1.0,5.142857142857143,1,what,5.03418371977919,1,0.023809523809523808,1,0.023809523809523808,0,0,0,1,0
factual_028,7,31,7,1.0,3.5714285714285716,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,1,1,0,0,0
factual_029,3,19,3,1.0,5.666666666666667,1,who,4.08746284125034,2,0.10526315789473684,1,0.05263157894736842,0,0,0,0,0
factual_030,4,29,4,1.0,6.5,1,who,4.458591205867174,1,0.034482758620689655,1,0.034482758620689655,0,0,0,0,0
factual_031,7,38,7,1.0,4.571428571428571,1,what,5.003258334775643,1,0.02631578947368421,1,0.02631578947368421,0,0,0,0,0
factual_032,7,39,7,1.0,4.714285714285714,1,what,5.209453365628954,1,0.02564102564102564,1,0.02564102564102564,0,0,0,0,0
factual_033,3,19,3,1.0,5.666666666666667,1,who,4.08746284125034,4,0.21052631578947367,1,0.05263157894736842,0,0,0,0,0
factual_034,4,24,4,1.0,5.25,1,who,4.459431618637295,3,0.125,3,0.125,0,0,0,0,0
factual_035,5,25,5,1.0,4.2,1,what,4.523561956057013,5,0.2,1,0.04,0,0,0,0,0
factual_036,10,44,10,1.0,3.5,1,how,5.297079327540667,3,0.06818181818181818,1,0.022727272727272728,0,0,0,0,0
factual_037,10,45,10,1.0,3.6,1,how,5.333241498888144,3,0.06666666666666667,1,0.022222222222222223,0,0,0,0,0
factual_038,6,40,6,1.0,5.833333333333333,1,how,5.247927513443589,3,0.075,1,0.025,0,0,0,0,0
factual_039,6,41,6,1.0,6.0,1,what,5.285402218862247,1,0.024390243902439025,1,0.024390243902439025,0,0,0,0,0
factual_040,7,35,7,1.0,4.142857142857143,1,how,4.8625759375402735,1,0.02857142857142857,1,0.02857142857142857,0,0,0,0,0
factual_041,8,53,8,1.0,5.75,1,what,5.554778283147971,1,0.018867924528301886,1,0.018867924528301886,0,0,0,1,0
factual_042,7,31,7,1.0,3.5714285714285716,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,1,1,0,0,0
factual_043,3,18,3,1.0,5.333333333333333,1,who,4.0,2,0.1111111111111111,1,0.05555555555555555,0,0,0,0,0
factual_044,3,23,3,1.0,7.0,1,who,4.39231742277876,2,0.08695652173913043,3,0.13043478260869565,0,0,0,0,0
factual_045,7,37,7,1.0,4.428571428571429,1,what,4.957854445516393,1,0.02702702702702703,1,0.02702702702702703,0,0,0,0,0
factual_046,9,48,9,1.0,4.444444444444445,1,who,5.5235619560570095,3,0.0625,1,0.020833333333333332,0,0,0,0,0
factual_047,7,30,7,1.0,3.4285714285714284,1,how,4.807354922057606,1,0.03333333333333333,1,0.03333333333333333,0,0,0,0,0
factual_048,7,31,7,1.0,3.5714285714285716,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,1,1,0,0,0
factual_049,6,30,6,1.0,4.166666666666667,1,who,4.807354922057606,1,0.03333333333333333,3,0.1,0,0,0,0,2
factual_050,7,48,7,1.0,6.0,1,which,5.5235619560570095,1,0.020833333333333332,1,0.020833333333333332,0,0,0,0,0
factual_051,7,39,7,1.0,4.714285714285714,1,what,5.209453365628954,1,0.02564102564102564,1,0.02564102564102564,0,0,0,0,0
factual_052,5,25,5,1.0,4.2,1,what,4.523561956057013,5,0.2,1,0.04,0,0,0,0,0
factual_053,6,41,6,1.0,6.0,1,how,5.285402218862247,3,0.07317073170731707,1,0.024390243902439025,0,0,0,0,0
factual_054,10,52,9,0.9,4.3,1,who,5.523856189774728,1,0.019230769230769232,1,0.019230769230769232,0,0,0,0,0
factual_055,8,51,8,1.0,5.5,1,what,5.492260864523372,1,0.0196078431372549,1,0.0196078431372549,0,0,0,1,0
factual_056,7,45,7,1.0,5.571428571428571,1,what,5.286729870981167,1,0.022222222222222223,1,0.022222222222222223,0,0,0,1,0
factual_057,5,24,5,1.0,4.0,1,who,4.459431618637295,4,0.16666666666666666,1,0.041666666666666664,0,0,0,0,0
factual_058,3,18,3,1.0,5.333333333333333,1,who,4.0,2,0.1111111111111111,1,0.05555555555555555,0,0,0,0,0
factual_059,10,47,10,1.0,3.8,1,how,5.402964207440784,3,0.06382978723404255,1,0.02127659574468085,0,0,0,0,0
factual_060,5,24,5,1.0,4.0,1,what,4.459431618637295,4,0.16666666666666666,1,0.041666666666666664,0,0,0,0,0
factual_061,3,19,3,1.0,5.666666666666667,1,who,4.08746284125034,2,0.10526315789473684,1,0.05263157894736842,0,0,0,0,0
factual_062,7,37,7,1.0,4.428571428571429,1,what,4.957854445516393,1,0.02702702702702703,1,0.02702702702702703,0,0,0,0,0
factual_063,3,23,3,1.0,7.0,1,who,4.39231742277876,1,0.043478260869565216,1,0.043478260869565216,0,0,0,0,0
factual_064,10,46,10,1.0,3.7,1,how,5.323067982273659,3,0.06521739130434782,1,0.021739130434782608,0,0,0,0,0
factual_065,7,29,7,1.0,3.2857142857142856,1,how,4.532665279941249,1,0.034482758620689655,1,0.034482758620689655,0,0,0,0,0
factual_066,4,25,4,1.0,5.5,1,who,4.523561956057013,3,0.12,3,0.12,0,0,0,0,0
factual_067,3,29,3,1.0,9.0,1,who,4.754887502163471,1,0.034482758620689655,1,0.034482758620689655,0,0,0,0,0
factual_068,7,35,7,1.0,4.142857142857143,1,how,4.8625759375402735,1,0.02857142857142857,1,0.02857142857142857,0,0,0,0,0
factual_069,7,31,7,1.0,3.5714285714285716,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,1,1,0,0,0
factual_070,7,28,7,1.0,3.142857142857143,1,how,4.70043971814109,1,0.03571428571428571,1,0.03571428571428571,0,0,0,0,0
factual_071,3,22,3,1.0,6.666666666666667,1,who,4.321928094887363,2,0.09090909090909091,1,0.045454545454545456,0,0,0,0,0
factual_072,7,40,7,1.0,4.857142857142857,1,how,5.090032776601483,1,0.025,1,0.025,0,0,0,0,0
factual_073,7,30,7,1.0,3.4285714285714284,1,how,4.735926350629034,1,0.03333333333333333,1,0.03333333333333333,0,0,0,0,0
factual_074,3,22,3,1.0,6.666666666666667,1,who,4.321928094887363,2,0.09090909090909091,1,0.045454545454545456,0,0,0,0,0
factual_075,3,21,3,1.0,6.333333333333333,1,who,4.247927513443583,2,0.09523809523809523,1,0.047619047619047616,0,0,0,0,1
factual_076,7,49,7,1.0,6.142857142857143,1,what,5.384376085720193,1,0.02040816326530612,1,0.02040816326530612,0,0,0,1,0
factual_077,6,40,6,1.0,5.833333333333333,1,how,5.247927513443589,3,0.075,1,0.025,0,0,0,0,0
factual_078,4,27,4,1.0,6.0,1,who,4.643856189774723,3,0.1111111111111111,3,0.1111111111111111,0,0,0,0,0
factual_079,7,34,7,1.0,4.0,1,how,5.0,1,0.029411764705882353,1,0.029411764705882353,0,0,0,0,0
factual_080,10,47,10,1.0,3.8,1,how,5.402964207440784,3,0.06382978723404255,1,0.02127659574468085,0,0,0,0,0
factual_081,9,53,8,0.8888888888888888,5.0,1,who,5.554778283147971,1,0.018867924528301886,1,0.018867924528301886,0,0,0,0,0
factual_082,7,36,7,1.0,4.285714285714286,1,how,4.910992253015045,1,0.027777777777777776,1,0.027777777777777776,0,0,0,0,0
factual_083,7,37,7,1.0,4.428571428571429,1,what,4.957854445516393,1,0.02702702702702703,1,0.02702702702702703,0,0,0,0,0
factual_084,7,35,7,1.0,4.142857142857143,1,how,5.044394119358456,1,0.02857142857142857,1,0.02857142857142857,0,0,0,0,0
factual_085,7,31,7,1.0,3.5714285714285716,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,1,1,0,0,0
factual_086,7,29,7,1.0,3.2857142857142856,1,how,4.754887502163471,1,0.034482758620689655,1,0.034482758620689655,0,0,0,0,0
factual_087,5,24,5,1.0,4.0,1,what,4.459431618637295,4,0.16666666666666666,1,0.041666666666666664,0,0,0,0,0
factual_088,5,24,5,1.0,4.0,1,what,4.459431618637295,4,0.16666666666666666,1,0.041666666666666664,0,0,0,0,0
factual_089,5,24,5,1.0,4.0,1,what,4.459431618637295,4,0.16666666666666666,1,0.041666666666666664,0,0,0,0,0
factual_090,5,27,5,1.0,4.6,1,what,4.643856189774723,7,0.25925925925925924,1,0.037037037037037035,0,0,0,0,0
factual_091,5,25,5,1.0,4.2,1,what,4.523561956057013,5,0.2,1,0.04,0,0,0,0,0
factual_092,7,41,7,1.0,5.0,1,what,5.131556065016093,1,0.024390243902439025,1,0.024390243902439025,0,0,0,0,0
factual_093,7,30,7,1.0,3.4285714285714284,1,how,4.807354922057606,1,0.03333333333333333,1,0.03333333333333333,0,0,0,0,0
factual_094,7,31,7,1.0,3.5714285714285716,1,how,4.789015477886192,1,0.03225806451612903,1,0.03225806451612903,0,0,0,0,0
factual_095,7,31,7,1.0,3.5714285714285716,1,what,4.857980995127571,1,0.03225806451612903,1,0.03225806451612903,1,1,0,0,0
factual_096,7,29,7,1.0,3.2857142857142856,1,how,4.754887502163471,1,0.034482758620689655,1,0.034482758620689655,0,0,0,0,0
factual_097,7,30,7,1.0,3.4285714285714284,1,how,4.807354922057606,1,0.03333333333333333,1,0.03333333333333333,0,0,0,0,0
factual_098,7,39,7,1.0,4.714285714285714,1,how,4.77702093319652,1,0.02564102564102564,1,0.02564102564102564,0,0,0,0,0
impossible_001,8,38,8,1.0,3.875,0,none,5.1699250014423095,1,0.02631578947368421,1,0.02631578947368421,1,2,0,0,0
impossible_002,6,51,6,1.0,7.666666666666667,0,none,5.288179231870311,1,0.0196078431372549,1,0.0196078431372549,0,0,0,0,0
impossible_003,7,45,7,1.0,5.571428571428571,0,none,5.379753126795121,1,0.022222222222222223,1,0.022222222222222223,0,0,0,0,0
impossible_004,15,86,15,1.0,4.8,1,what,6.344698375159712,4,0.046511627906976744,4,0.046511627906976744,1,1,0,2,0
impossible_005,8,56,8,1.0,6.125,1,what,5.7548875021634665,1,0.017857142857142856,1,0.017857142857142856,0,0,0,0,0
impossible_006,6,45,6,1.0,6.666666666666667,0,none,5.286729870981167,1,0.022222222222222223,1,0.022222222222222223,0,0,0,0,0
impossible_007,6,60,6,1.0,9.166666666666666,1,what,5.789015477886191,1,0.016666666666666666,1,0.016666666666666666,0,0,0,0,0
impossible_008,9,49,8,0.8888888888888888,4.555555555555555,1,what,5.384376085720193,1,0.02040816326530612,1,0.02040816326530612,0,0,0,0,0
impossible_009,8,43,8,1.0,4.5,0,none,5.357552004618081,1,0.023255813953488372,1,0.023255813953488372,0,0,0,0,0
impossible_010,8,40,8,1.0,4.125,1,what,5.247927513443589,1,0.025,1,0.025,0,0,0,0,0
impossible_011,8,67,8,1.0,7.5,0,none,5.930060120720765,1,0.014925373134328358,1,0.014925373134328358,0,0,0,0,0
impossible_012,13,87,13,1.0,5.769230769230769,0,none,6.315273289078883,1,0.011494252873563218,1,0.011494252873563218,0,0,0,0,0
impossible_013,6,33,6,1.0,4.666666666666667,1,what,4.954196310386877,1,0.030303030303030304,1,0.030303030303030304,0,0,0,0,0
impossible_014,7,46,7,1.0,5.714285714285714,1,what,5.323067982273659,1,0.021739130434782608,1,0.021739130434782608,0,0,0,0,0
