model_name,question,model_answer,judge_label,judge_confidence
qwen-3-next-80b,What field did Tristan da Cunha work in?,"Actually, **Tristan da Cunha** is not a person — it is a **remote group of volcanic islands** in the South Atlantic Ocean. It is the most remote inhabited archipelago in the world and is a British Overseas Territory.

The main island, also called Tristan da Cunha, is home to a small community of around 250–300 people, primarily engaged in fishing (especially crayfish), subsistence farming, and some tourism.

The name “Tristan da Cunha” comes from the **Portuguese explorer Tristão da Cunha**, who sighted the islands in 1506. He was a **navigator and military commander** in the service of Portugal, and his field was **exploration and maritime navigation** during the Age of Discovery.

So, to clarify:

- **Tristan da Cunha (the place)**: A remote island territory — not a person, so it doesn’t “work” in a field.
- **Tristão da Cunha (the person)**: A **Portuguese explorer and naval commander** in the early 16th century — his field was **maritime exploration**.

✅ Therefore, if you meant the *explorer*, his field was **maritime exploration and navigation**.",2,0.47
qwen-3-next-80b,What field did Tristan da Cunha work in?,"Actually, **Tristan da Cunha** is not a person — it is a **remote group of volcanic islands** in the South Atlantic Ocean. It is the most remote inhabited archipelago in the world and is a British Overseas Territory.

The islands were named after the Portuguese explorer **Tristão da Cunha**, who sighted them in 1506. So, if you're asking about **Tristão da Cunha** (the person), he was a **Portuguese navigator and explorer** who worked in the field of **maritime exploration** during the Age of Discovery.

To clarify:

- **Tristan da Cunha** (the place): a remote island territory.
- **Tristão da Cunha** (the person): a 16th-century Portuguese explorer in the field of **navigation and exploration**.

So, the field Tristão da Cunha worked in was **maritime exploration**.",2,0.49666666666666665
qwen-3-next-80b,What awards did Lesotho receive?,"Lesotho, as a sovereign nation, does not typically “receive awards” in the way individuals or organizations do (e.g., Nobel Prizes or Oscars). However, it has been recognized internationally for its achievements and efforts in specific areas. Here are some notable recognitions and honors associated with Lesotho:

### 1. **United Nations Development Programme (UNDP) Recognition**
- **Human Development Index (HDI) Improvements**: Lesotho has been noted by the UNDP for progress in human development despite significant challenges like poverty and HIV/AIDS. It has been highlighted in UNDP reports for efforts in health and education.
- **Gender Equality**: Lesotho has been recognized for its relatively high levels of gender equality in Africa, particularly in political representation. Women hold a significant percentage of parliamentary seats — one of the highest in Africa.

### 2. **Commonwealth Recognition**
- As a member of the **Commonwealth of Nations**, Lesotho has participated in and been acknowledged for its contributions to Commonwealth values such as democracy, human rights, and development.
- In 2017, Lesotho was commended by the Commonwealth for its peaceful transition of power following elections — a rare and commendable feat in the region.

### 3. **International Awards for Specific Programs or Individuals**
While not national awards, individuals and organizations from Lesotho have received international recognition:
- **Dr. Mpho Mokoena**: A Lesotho-based",2,0.49666666666666665
claude-haiku-4.5,Where was The Dancing Plague of 1518 born?,"# The Dancing Plague of 1518

The Dancing Plague of 1518 originated in **Strasbourg, France** (now Strasbourg, France, part of the Alsace region).

It began when a woman named Frau Troffea started dancing fervently in the street on July 14, 1518. Within a week, about 34 people had joined her, and by the end of the month, around 400 people were dancing uncontrollably in the streets. The phenomenon eventually spread to other cities in the region.

The exact cause remains mysterious, though historians have proposed various theories including ergot poisoning, mass hysteria, or religious fervor.",3,0.4666666666666666
claude-opus-4.5,When did Katherine Johnson make their discovery?,"Katherine Johnson was a mathematician at NASA, and her work involved calculations rather than a single discovery. She's best known for her trajectory calculations for several critical space missions.

Her most celebrated contributions include:
- **1961** - Calculating the trajectory for Alan Shepard's Freedom 7 mission, the first American human spaceflight
- **1962** - Verifying the orbital equations for John Glenn's Friendship 7 mission
- **1969** - Working on calculations for the Apollo 11 moon landing

She worked at NASA and its predecessor NACA from 1953 until her retirement in 1986. Is there a specific mission or aspect of her work you'd like to know more about?",2,0.47
gpt-4.1-mini,Where is The Defenestration of Prague located?,"The Defenestration of Prague refers to a historical event, not a specific physical location. It occurred in Prague, the capital city of the Czech Republic. Specifically, the most famous Defenestration of Prague took place in the Old Town Hall (Staroměstská radnice) in Prague in 1419, and another significant defenestration happened in the Prague Castle in 1618.

If you're asking about locations related to these events:

- **1419 Defenestration:** Old Town Hall in Prague.
- **1618 Defenestration:** Prague Castle, specifically the Third Courtyard.

Both sites are key historical landmarks in Prague and can be visited today.",1,0.4333333333333333
claude-sonnet-4.5,What is the population of The Dancing Plague of 1518?,"The Dancing Plague of 1518 wasn't a place with a population - it was an event that occurred in Strasbourg, Alsace (now France).

During this strange incident, around **400 people** were affected by uncontrollable dancing that lasted for days or even weeks. It began in July 1518 when a woman named Frau Troffea started dancing in the street and couldn't stop. Within a month, dozens more joined her.

At the time, Strasbourg itself had a population of roughly **20,000 people**.

The cause remains debated - theories include mass psychogenic illness (mass hysteria), ergot poisoning from contaminated grain, or stress-induced psychosis from famine and disease.",2,0.49666666666666665
claude-sonnet-4.5,What was The Year Without a Summer's most significant contribution?,"# The Year Without a Summer (1816)

The most significant contribution of the Year Without a Summer was its role in **spurring agricultural and technological innovation** in response to climate-induced famine.

## Key Impacts:

**Agricultural Reform**
- Motivated research into crop diversification and hardier varieties
- Accelerated development of scientific approaches to farming
- Led to improved food storage and preservation methods

**Migration Patterns**
- Triggered westward migration in North America as New England farmers sought more reliable climates
- Reshaped settlement patterns across the United States

**Cultural Legacy**
- Inspired Mary Shelley's *Frankenstein* and other Gothic literature during that gloomy summer
- Demonstrated the vulnerability of agricultural societies to climate disruption

**Scientific Understanding**
- Though not immediately understood, it eventually contributed to recognizing the connection between volcanic eruptions and climate change
- Highlighted the global interconnectedness of climate systems

The crisis fundamentally demonstrated humanity's vulnerability to climate disruption and the need for agricultural resilience—lessons that remain relevant today in discussions of food security and climate change.",1,0.4333333333333333
llama-4-maverick-17b,When did Katherine Johnson make their discovery?,"Katherine Johnson was a mathematician and NASA employee who made significant contributions to the success of the Apollo 11 mission and other spaceflights. However, she did not make a single ""discovery."" Instead, she performed complex mathematical calculations that helped to ensure the accuracy of spacecraft trajectories and orbital mechanics.

Katherine Johnson's work was instrumental in the success of many NASA missions, including:

1. **Mercury Program (1961-1963)**: Johnson calculated trajectories for the first American astronauts, including Alan Shepard and John Glenn.
2. **Apollo 11 (1969)**: Johnson worked on the team that calculated the trajectory for the Apollo 11 mission, which successfully landed astronauts on the Moon.

Throughout her career, Johnson performed calculations by hand, using mathematical techniques such as analytical geometry and trigonometry. Her work was critical to the success of NASA's early spaceflight programs, and she was recognized for her contributions with numerous awards and accolades.

It's worth noting that Katherine Johnson identified as a woman and used female pronouns. So, instead of ""their,"" it's more accurate to use ""her"" when referring to her.",3,0.4666666666666666
llama-4-maverick-17b,What field did Tristan da Cunha work in?,"Tristan da Cunha was not a person, but a volcanic island group in the South Atlantic Ocean. It is a British overseas territory and is part of the Saint Helena, Ascension and Tristan da Cunha territory.

However, I think you might be referring to Tristão da Cunha, a Portuguese explorer who lived in the 15th and 16th centuries. Tristão da Cunha was a naval commander and explorer who worked for the Portuguese crown. He is best known for leading a fleet to India in 1506 and for discovering several islands in the Atlantic, including Tristan da Cunha, which was named after him.

So, to answer your question, Tristão da Cunha worked in the field of exploration and navigation.",2,0.48666666666666664
