model,claude-haiku-4.5,claude-opus-4.5,claude-sonnet-4.5,gpt-4.1,gpt-4.1-mini,gpt-4o-mini,gpt-5.1,llama-4-maverick-17b,mixtral-8x7b,qwen-3-next-80b
claude-haiku-4.5,1.0,0.26014612745697535,0.35796308610824473,0.26932945916811696,0.1908908354954622,0.24994356022052464,0.22550892228937128,0.3033259050297165,0.1978843360120485,0.10702565337974843
claude-opus-4.5,0.26014612745697535,1.0,0.2857153639200541,0.2692155963341395,0.18649229327799413,0.2656309442201308,0.31178186018433407,0.30472467319929536,0.19393184979926914,0.18292193571484247
claude-sonnet-4.5,0.35796308610824473,0.2857153639200541,1.0,0.3480834878554303,0.37621484634597185,0.30270223494429355,0.5898088007070426,0.515845546950646,0.34387932322021086,0.06807804068078038
gpt-4.1,0.26932945916811696,0.2692155963341395,0.3480834878554303,1.0,0.5242475842704352,0.4818290300445646,0.4612749325165775,0.26489261018269805,0.4084227963590882,0.0680951574235273
gpt-4.1-mini,0.1908908354954622,0.18649229327799413,0.37621484634597185,0.5242475842704352,1.0,0.6169389483940513,0.49627909810700616,0.3970365193890167,0.40508190749574474,0.28900758459618264
gpt-4o-mini,0.24994356022052464,0.2656309442201308,0.30270223494429355,0.4818290300445646,0.6169389483940513,1.0,0.47073604636401395,0.3580238905748035,0.4790471524982379,0.18975489132380516
gpt-5.1,0.22550892228937128,0.31178186018433407,0.5898088007070426,0.4612749325165775,0.49627909810700616,0.47073604636401395,1.0,0.4804038261820541,0.39281226324764806,0.2128349195433954
llama-4-maverick-17b,0.3033259050297165,0.30472467319929536,0.515845546950646,0.26489261018269805,0.3970365193890167,0.3580238905748035,0.4804038261820541,1.0,0.20483171577196405,0.39248221774647024
mixtral-8x7b,0.1978843360120485,0.19393184979926914,0.34387932322021086,0.4084227963590882,0.40508190749574474,0.4790471524982379,0.39281226324764806,0.20483171577196405,1.0,0.0759756515153966
qwen-3-next-80b,0.10702565337974843,0.18292193571484247,0.06807804068078038,0.0680951574235273,0.28900758459618264,0.18975489132380516,0.2128349195433954,0.39248221774647024,0.0759756515153966,1.0
