,claude-haiku-4.5,claude-opus-4.5,claude-sonnet-4.5,gpt-4.1,gpt-4.1-mini,gpt-4o-mini,gpt-5.1,llama-4-maverick-17b,mixtral-8x7b,qwen-3-next-80b
claude-haiku-4.5,1.0,0.41433193709382826,0.5140863806951615,0.385435830435617,0.32151551055472,0.28446740410644583,0.3996490091652723,0.4196360342919386,0.330608270265298,0.28209977834831124
claude-opus-4.5,0.41433193709382826,1.0,0.49505712522990003,0.4726397009519006,0.28375333815006604,0.40524943257918106,0.39929756206400335,0.48861496754487493,0.350878718358942,0.3628963173104523
claude-sonnet-4.5,0.5140863806951615,0.49505712522990003,1.0,0.4425395586239929,0.41301671020908803,0.37654104210098194,0.4036204401532326,0.5177550308521024,0.37759676708355056,0.2664544928157566
gpt-4.1,0.3854358304356171,0.47263970095190055,0.44253955862399286,1.0,0.5652323116888923,0.6980886186756879,0.4561942763848863,0.44317856035229986,0.5985778924359004,0.552941840283007
gpt-4.1-mini,0.32151551055472,0.28375333815006604,0.41301671020908803,0.5652323116888924,1.0,0.6585719591613866,0.42048272962643757,0.44678159677844387,0.4676489183833734,0.4531596193600655
gpt-4o-mini,0.28446740410644583,0.405249432579181,0.376541042100982,0.6980886186756879,0.6585719591613866,1.0,0.4158208282784437,0.48178920587478435,0.5333437588327716,0.5338918830157646
gpt-5.1,0.3996490091652723,0.39929756206400335,0.4036204401532326,0.4561942763848863,0.4204827296264376,0.4158208282784437,1.0,0.36581639822379436,0.33802801986536296,0.3551259375395214
llama-4-maverick-17b,0.4196360342919386,0.48861496754487493,0.5177550308521024,0.44317856035229986,0.4467815967784439,0.48178920587478435,0.36581639822379436,1.0,0.36341405545135913,0.47874914407817826
mixtral-8x7b,0.33060827026529793,0.350878718358942,0.3775967670835505,0.5985778924359003,0.4676489183833734,0.5333437588327716,0.33802801986536296,0.3634140554513591,1.0,0.42473525628416003
qwen-3-next-80b,0.28209977834831124,0.3628963173104523,0.2664544928157566,0.552941840283007,0.45315961936006544,0.5338918830157646,0.3551259375395214,0.47874914407817826,0.42473525628416003,1.0
