,claude-haiku-4.5,claude-opus-4.5,claude-sonnet-4.5,gpt-4.1,gpt-4.1-mini,gpt-4o-mini,gpt-5.1,llama-4-maverick-17b,mixtral-8x7b,qwen-3-next-80b
claude-haiku-4.5,0.0,4.2688431642414065e-17,1.2969260062143007e-22,6.861289640759616e-13,2.0674509168802803e-07,2.3067661311603994e-09,9.777456679537302e-06,4.5715780012838265e-15,5.803132625320121e-08,1.446440120421888e-08
claude-opus-4.5,4.2688431642414065e-17,0.0,1.9791047577362315e-21,9.818836063937093e-15,3.258817948864766e-08,4.1540719366724774e-11,5.316888359775177e-08,2.497346874106421e-17,7.203676494140933e-09,5.393233892885145e-15
claude-sonnet-4.5,1.2969260062143007e-22,1.9791047577362315e-21,0.0,1.328686966477553e-19,4.801881016571119e-19,3.8800353570445745e-13,4.790712349314586e-18,1.425598248309552e-33,2.6501984542303962e-17,2.2696510928371993e-08
gpt-4.1,6.861289640759616e-13,9.818836063937093e-15,1.328686966477553e-19,0.0,4.292060342619838e-31,2.0992962622379025e-26,5.325586477526085e-18,7.722521986825477e-12,3.804826980536166e-21,6.900548381865577e-05
gpt-4.1-mini,2.0674509168802803e-07,3.258817948864766e-08,4.801881016571119e-19,4.292060342619838e-31,0.0,1.7360993216720576e-41,3.1667917291912877e-10,2.5526900848499606e-21,1.1009054748719406e-19,2.541200520184713e-13
gpt-4o-mini,2.3067661311603994e-09,4.1540719366724774e-11,3.8800353570445745e-13,2.0992962622379025e-26,1.7360993216720576e-41,0.0,2.158919816896596e-11,2.5061153353685614e-17,8.764249899206788e-26,2.3871952157584626e-07
gpt-5.1,9.777456679537302e-06,5.316888359775177e-08,4.790712349314586e-18,5.325586477526085e-18,3.1667917291912877e-10,2.158919816896596e-11,0.0,7.0643268217382316e-12,3.7812033605577113e-06,9.590832955629635e-12
llama-4-maverick-17b,4.5715780012838265e-15,2.497346874106421e-17,1.425598248309552e-33,7.722521986825477e-12,2.5526900848499606e-21,2.5061153353685614e-17,7.0643268217382316e-12,0.0,9.954281263908975e-08,4.4079529434963044e-23
mixtral-8x7b,5.803132625320121e-08,7.203676494140933e-09,2.6501984542303962e-17,3.804826980536166e-21,1.1009054748719406e-19,8.764249899206788e-26,3.7812033605577113e-06,9.954281263908975e-08,0.0,0.00043555210916328645
qwen-3-next-80b,1.446440120421888e-08,5.393233892885145e-15,2.2696510928371993e-08,6.900548381865577e-05,2.541200520184713e-13,2.3871952157584626e-07,9.590832955629635e-12,4.4079529434963044e-23,0.00043555210916328645,0.0
